sepal length (cm);sepal width (cm);petal length (cm);petal width (cm);setosa_prob
5.1;3.5;1.4;0.2;0.9999143249551901
4.9;3.0;1.4;0.2;0.9999143249551901
4.7;3.2;1.3;0.2;0.9999143249551901
4.6;3.1;1.5;0.2;0.9999143249551901
5.0;3.6;1.4;0.2;0.9999143249551901
5.4;3.9;1.7;0.4;0.9999143249551901
4.6;3.4;1.4;0.3;0.9999143249551901
5.0;3.4;1.5;0.2;0.9999143249551901
4.4;2.9;1.4;0.2;0.9999143249551901
4.9;3.1;1.5;0.1;0.9999143249551901
5.4;3.7;1.5;0.2;0.9999143249551901
4.8;3.4;1.6;0.2;0.9999143249551901
4.8;3.0;1.4;0.1;0.9999143249551901
4.3;3.0;1.1;0.1;0.9999143249551901
5.8;4.0;1.2;0.2;0.9999100772223323
5.7;4.4;1.5;0.4;0.9999100772223323
5.4;3.9;1.3;0.4;0.9999143249551901
5.1;3.5;1.4;0.3;0.9999143249551901
5.7;3.8;1.7;0.3;0.9999100772223323
5.1;3.8;1.5;0.3;0.9999143249551901
5.4;3.4;1.7;0.2;0.9999143249551901
5.1;3.7;1.5;0.4;0.9999143249551901
4.6;3.6;1.0;0.2;0.9999143249551901
5.1;3.3;1.7;0.5;0.9999143249551901
4.8;3.4;1.9;0.2;0.9999143249551901
5.0;3.0;1.6;0.2;0.9999143249551901
5.0;3.4;1.6;0.4;0.9999143249551901
5.2;3.5;1.5;0.2;0.9999143249551901
5.2;3.4;1.4;0.2;0.9999143249551901
4.7;3.2;1.6;0.2;0.9999143249551901
4.8;3.1;1.6;0.2;0.9999143249551901
5.4;3.4;1.5;0.4;0.9999143249551901
5.2;4.1;1.5;0.1;0.9999143249551901
5.5;4.2;1.4;0.2;0.9999143249551901
4.9;3.1;1.5;0.2;0.9999143249551901
5.0;3.2;1.2;0.2;0.9999143249551901
5.5;3.5;1.3;0.2;0.9999143249551901
4.9;3.6;1.4;0.1;0.9999143249551901
4.4;3.0;1.3;0.2;0.9999143249551901
5.1;3.4;1.5;0.2;0.9999143249551901
5.0;3.5;1.3;0.3;0.9999143249551901
4.5;2.3;1.3;0.3;0.9998973434690688
4.4;3.2;1.3;0.2;0.9999143249551901
5.0;3.5;1.6;0.6;0.9999143249551901
5.1;3.8;1.9;0.4;0.9999143249551901
4.8;3.0;1.4;0.3;0.9999143249551901
5.1;3.8;1.6;0.2;0.9999143249551901
4.6;3.2;1.4;0.2;0.9999143249551901
5.3;3.7;1.5;0.2;0.9999143249551901
5.0;3.3;1.4;0.2;0.9999143249551901
7.0;3.2;4.7;1.4;2.836085825490503e-05
6.4;3.2;4.5;1.5;2.8360776820306932e-05
6.9;3.1;4.9;1.5;7.363986224033274e-05
5.5;2.3;4.0;1.3;6.912200105301224e-05
6.5;2.8;4.6;1.5;7.781051292291123e-05
5.7;2.8;4.5;1.3;7.767664119054922e-05
6.3;3.3;4.7;1.6;1.2056892005025261e-05
4.9;2.4;3.3;1.0;6.912200105301224e-05
6.6;2.9;4.6;1.3;7.781157781614762e-05
5.2;2.7;3.9;1.4;6.601671205707391e-05
5.0;2.0;3.5;1.0;6.322204446053108e-05
5.9;3.0;4.2;1.5;7.767557814384953e-05
6.0;2.2;4.0;1.0;6.322204446053108e-05
6.1;2.9;4.7;1.4;7.781157781614762e-05
5.6;2.9;3.6;1.3;8.435218488932168e-05
6.7;3.1;4.4;1.4;5.813585706422063e-05
5.6;3.0;4.5;1.5;8.435010977958626e-05
5.8;2.7;4.1;1.0;6.601671205707391e-05
6.2;2.2;4.5;1.5;6.333164360815702e-05
5.6;2.5;3.9;1.1;6.912200105301224e-05
5.9;3.2;4.8;1.8;0.0009341509873239092
6.1;2.8;4.0;1.3;7.781157781614762e-05
6.3;2.5;4.9;1.5;8.771531712481222e-05
6.1;2.8;4.7;1.2;7.781157781614762e-05
6.4;2.9;4.3;1.3;7.781157781614762e-05
6.6;3.0;4.4;1.4;7.781157781614762e-05
6.8;2.8;4.8;1.4;7.8016912638675e-05
6.7;3.0;5.0;1.7;6.48089357588545e-06
6.0;2.9;4.5;1.5;7.767557814384953e-05
5.7;2.6;3.5;1.0;6.912200105301224e-05
5.5;2.4;3.8;1.1;6.912200105301224e-05
5.5;2.4;3.7;1.0;6.912200105301224e-05
5.8;2.7;3.9;1.2;6.601671205707391e-05
6.0;2.7;5.1;1.6;0.0001276161634371894
5.4;3.0;4.5;1.5;8.435010977958626e-05
6.0;3.4;4.5;1.6;9.879899302120964e-06
6.7;3.1;4.7;1.5;5.8135529271216994e-05
6.3;2.3;4.4;1.3;6.924207794316173e-05
5.6;3.0;4.1;1.3;8.435218488932168e-05
5.5;2.5;4.0;1.3;6.912200105301224e-05
5.5;2.6;4.4;1.2;6.912200105301224e-05
6.1;3.0;4.6;1.4;7.781157781614762e-05
5.8;2.6;4.0;1.2;6.912200105301224e-05
5.0;2.3;3.3;1.0;6.912200105301224e-05
5.6;2.7;4.2;1.3;6.601671205707391e-05
5.7;3.0;4.2;1.2;7.767664119054922e-05
5.7;2.9;4.2;1.3;7.767664119054922e-05
6.2;2.9;4.3;1.3;7.781157781614762e-05
5.1;2.5;3.0;1.1;6.912200105301224e-05
5.7;2.8;4.1;1.3;7.767664119054922e-05
6.3;3.3;6.0;2.5;7.147354834126121e-06
5.8;2.7;5.1;1.9;9.37431451302186e-05
7.1;3.0;5.9;2.1;6.752131125257772e-06
6.3;2.9;5.6;1.8;6.729935085154812e-06
6.5;3.0;5.8;2.2;6.752131125257772e-06
7.6;3.0;6.6;2.1;6.510414022394551e-06
4.9;2.5;4.5;1.7;1.3938528015706258e-05
7.3;2.9;6.3;1.8;6.489012565156512e-06
6.7;2.5;5.8;1.8;1.9019276349273043e-05
7.2;3.6;6.1;2.5;6.891588134147828e-06
6.5;3.2;5.1;2.0;8.111417822987579e-06
6.4;2.7;5.3;1.9;1.9077628489264874e-05
6.8;3.0;5.5;2.1;6.752131125257772e-06
5.7;2.5;5.0;2.0;9.02791871738904e-05
5.8;2.8;5.1;2.4;3.318270486652351e-05
6.4;3.2;5.3;2.3;7.147354834126121e-06
6.5;3.0;5.5;1.8;6.729935085154812e-06
7.7;3.8;6.7;2.2;6.891588134147828e-06
7.7;2.6;6.9;2.3;1.839479126655258e-05
6.0;2.2;5.0;1.5;2.4569128079520197e-05
6.9;3.2;5.7;2.3;7.147354834126121e-06
5.6;2.8;4.9;2.0;2.3142274263816115e-05
7.7;2.8;6.7;2.0;6.510414022394551e-06
6.3;2.7;4.9;1.8;2.144382807124988e-05
6.7;3.3;5.7;2.1;7.147354834126121e-06
7.2;3.2;6.0;1.8;1.0559521334290204e-05
6.2;2.8;4.8;1.8;1.4960522271098104e-05
6.1;3.0;4.9;1.8;1.3679319984264934e-05
6.4;2.8;5.6;2.1;6.752131125257772e-06
7.2;3.0;5.8;1.6;0.00017203456856599574
7.4;2.8;6.1;1.9;6.510414022394551e-06
7.9;3.8;6.4;2.0;6.891588134147828e-06
6.4;2.8;5.6;2.2;6.752131125257772e-06
6.3;2.8;5.1;1.5;2.6314346624058357e-05
6.1;2.6;5.6;1.4;4.170050547483386e-05
